ID,Symbol,Name,Current Price (USD),Market Cap (USD),Total Volume (USD),High 24h (USD),Low 24h (USD),Price Change % (24h),Last Updated,Price Stability,Market Cap to Volume Ratio,Price Change Category,Market Dominance (%),Volume to Market Cap Ratio
tether,usdt,Tether,0.998814,142024155740,98543247233.0,0.999409,0.9984,-0.01622,2025-02-28T06:06:34.622Z,0.0010090000000000376,1.4412368145753491,Decrease,61.462977260108296,0.693848498655402
usd-coin,usdc,USDC,0.999871,55515149694,14565403242.0,0.999997,0.999711,-0.0033,2025-02-28T06:06:35.634Z,0.00028600000000000847,3.811439255860734,Stable,24.02497212854638,0.26236808010578433
usds,usds,USDS,0.99915,7717898528,38453774.0,1.002,0.996767,-0.09714,2025-02-28T06:06:33.641Z,0.005233000000000043,200.70587942811542,Decrease,3.3400305691004792,0.004982415078468884
ethena-usde,usde,Ethena USDe,0.999157,5854970507,72509798.0,1.001,0.997322,0.00964,2025-02-28T06:06:34.688Z,0.003677999999999848,80.74730130954164,Stable,2.5338219210339084,0.012384314816498187
dai,dai,Dai,0.999481,3302321686,222530074.0,1.002,0.998885,-0.06216,2025-02-28T06:06:35.286Z,0.003114999999999979,14.839889398499908,Decrease,1.4291267681517041,0.06738594696676682
susds,susds,sUSDS,1.043,2958655339,1903151.0,1.047,1.032,0.30788,2025-02-28T06:06:32.117Z,0.014999999999999902,1554.60882452312,Increase,1.280400259195056,0.0006432486322125134
first-digital-usd,fdusd,First Digital USD,1.0,2129561774,8969721522.0,1.006,0.98863,0.15218,2025-02-28T06:06:35.675Z,0.017369999999999997,0.23741671007029955,Increase,0.9215982042447302,4.212003441981392
usual-usd,usd0,Usual USD,0.99734,1081473199,17229945.0,0.998302,0.997036,-0.00864,2025-02-28T06:06:35.492Z,0.0012659999999999894,62.76707203650389,Stable,0.46802293800809164,0.015931920472862314
paypal-usd,pyusd,PayPal USD,1.0,710967610,12813467.0,1.002,0.998408,0.03051,2025-02-28T06:06:28.922Z,0.0035920000000000396,55.485967224951686,Increase,0.30768136461307827,0.01802257489620378
tether-gold,xaut,Tether Gold,2861.24,705141580,6859558.0,2895.09,2858.59,-1.06794,2025-02-28T06:06:32.702Z,36.5,102.79694114402123,Decrease,0.30516006710885474,0.009727915917254517
usdx-money-usdx,usdx,usdx.money USDX,0.997414,623719152,472936.0,0.999621,0.995523,-0.06438,2025-02-28T06:06:33.098Z,0.004097999999999935,1318.8235871238392,Decrease,0.2699233511111314,0.0007582515279248632
pax-gold,paxg,PAX Gold,2853.85,596208143,47654888.0,2912.75,2844.12,-1.81116,2025-02-28T06:06:28.858Z,68.63000000000011,12.510954657998568,Decrease,0.2580175699307445,0.07992995157733027
resolv-usr,usr,Resolv USR,0.999158,527078265,14505338.0,1.0,0.998878,-0.10527,2025-02-28T06:06:29.443Z,0.0011219999999999564,36.33684820029702,Decrease,0.22810063011603818,0.027520273483483522
frax,frax,Frax,0.995892,495007472,11818582.0,0.99682,0.995529,-0.03745,2025-02-28T06:06:36.334Z,0.0012910000000000421,41.883829379869766,Decrease,0.21422153743210623,0.02387556283190812
true-usd,tusd,TrueUSD,0.997034,493563373,60285094.0,0.998091,0.992126,0.07478,2025-02-28T06:06:33.376Z,0.005964999999999998,8.18715440669297,Increase,0.21359658301124818,0.12214256020168661
honey-3,honey,Honey,1.002,459919065,12667272.0,1.009,0.991774,0.30709,2025-02-28T06:06:35.936Z,0.017225999999999853,36.30766474423222,Increase,0.19903652928826254,0.027542393790524863
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),0.999895,449197314,31333721.0,1.0,0.999697,-0.00086,2025-02-28T06:06:33.793Z,0.0003030000000000532,14.335907120638497,Stable,0.19439653875659593,0.069754916210385
usdb,usdb,USDB,0.999208,402523712,4410803.0,1.019,0.933665,0.32572,2025-02-28T06:06:33.258Z,0.08533499999999994,91.25860121161611,Increase,0.17419787238589068,0.010957871222254853
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,383776659,0.0,1.0,1.0,0.0,2025-02-28T06:05:03.434Z,0.0,inf,Stable,0.16608481805207412,0.0
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.089,382374817,2833944.0,1.089,1.078,0.03775,2025-02-28T06:06:28.099Z,0.010999999999999899,134.92673708443075,Increase,0.1654781509501341,0.007411429503214381
binance-peg-busd,busd,Binance-Peg BUSD,0.9969,323982512,10617749.0,1.021,0.995592,-0.58695,2025-02-28T06:06:37.599Z,0.025407999999999875,30.513295426365797,Decrease,0.14020804886306001,0.032772599158068134
elixir-deusd,deusd,Elixir deUSD,0.999876,288602506,1990024.0,1.002,0.999525,-0.03353,2025-02-28T06:06:33.906Z,0.002475000000000005,145.02463588378833,Decrease,0.12489684709664071,0.006895380180794411
quorium,qgold,Quorium,2866.08,240775029,160305.0,2930.04,2864.38,-0.8105,2025-02-28T06:06:29.274Z,65.65999999999985,1501.9807803873866,Decrease,0.10419882487680905,0.000665787480810562
usda-2,usda,USDa,0.995521,222428844,158228.0,0.998255,0.994139,-0.06518,2025-02-28T06:06:33.013Z,0.0041160000000000085,1405.7489445610133,Decrease,0.09625925188241627,0.0007113645746412278
gho,gho,GHO,0.999002,209097786,12568083.0,0.999437,0.998314,0.00398,2025-02-28T06:06:36.453Z,0.0011229999999999851,16.637206008267132,Stable,0.09049004656351842,0.06010624617517471
usdd,usdd,USDD,0.998561,193020887,23838523.0,0.999508,0.998429,-0.05236,2025-02-28T06:06:33.369Z,0.0010789999999999411,8.09701536458446,Decrease,0.08353253942326117,0.12350229744825492
elixir-staked-deusd,sdeusd,Elixir Staked deUSD,1.03,179131229,413872.0,1.038,1.028,-0.09191,2025-02-28T06:06:34.171Z,0.010000000000000009,432.81794612827156,Decrease,0.077521591994237,0.0023104402415505113
stasis-eurs,eurs,STASIS EURO,1.051,130504237,320809.0,1.061,1.048,-0.88378,2025-02-28T06:06:31.802Z,0.0129999999999999,406.7973061853003,Decrease,0.05647756826495735,0.0024582267010993674
ripple-usd,rlusd,Ripple USD,1.005,129680351,181525533.0,1.007,0.99073,0.57093,2025-02-28T06:06:29.441Z,0.016269999999999896,0.7143917930267143,Increase,0.05612101985796929,1.3997921165404619
global-dollar,usdg,Global Dollar,1.0,117651316,123901.0,1.001,0.99201,-0.04806,2025-02-28T06:06:35.346Z,0.008989999999999942,949.5590511779566,Decrease,0.05091528354632707,0.0010531203917855027
