ID,Symbol,Name,Current_Price_USD,Market_Cap_USD,Total_Volume_USD,High_24h_USD,Low_24h_USD,Price_Change_24h,Last_Updated
tether,usdt,Tether,0.999523,142125723487,71701529500.0,0.999889,0.999257,0.02666,2025-03-01T14:21:31.217Z
usd-coin,usdc,USDC,0.999863,56355694651,8812658199.0,0.999934,0.999707,0.00631,2025-03-01T14:21:32.300Z
usds,usds,USDS,0.999927,7808167268,23217686.0,1.001,0.998897,0.01135,2025-03-01T14:21:43.070Z
ethena-usde,usde,Ethena USDe,0.998707,5467769154,78432575.0,0.999348,0.998094,-0.01398,2025-03-01T14:21:42.725Z
dai,dai,Dai,0.999767,3279559530,206433840.0,1.001,0.998204,-0.03092,2025-03-01T14:21:42.366Z
susds,susds,sUSDS,1.04,2972175615,615056.0,1.048,1.037,0.03572,2025-03-01T14:21:41.437Z
first-digital-usd,fdusd,First Digital USD,0.997365,2037569276,7747252076.0,1.006,0.990414,-0.50268,2025-03-01T14:21:43.309Z
usual-usd,usd0,Usual USD,0.997494,1078121234,11713664.0,0.998042,0.997111,-0.01243,2025-03-01T14:21:42.793Z
paypal-usd,pyusd,PayPal USD,0.999367,753779631,21379530.0,1.001,0.998927,0.04411,2025-03-01T14:21:33.866Z
tether-gold,xaut,Tether Gold,2857.83,704631921,4929410.0,2859.54,2834.96,0.40946,2025-03-01T14:21:42.149Z
usdx-money-usdx,usdx,usdx.money USDX,0.999215,624915357,163628.0,1.001,0.99533,0.12552,2025-03-01T14:21:43.076Z
pax-gold,paxg,PAX Gold,2856.6,597544136,26590510.0,2865.86,2837.56,0.42619,2025-03-01T14:21:34.128Z
resolv-usr,usr,Resolv USR,0.99978,527149273,5837459.0,1.0,0.998685,-0.02157,2025-03-01T14:21:36.315Z
frax,frax,Frax,0.995928,495112783,9442333.0,0.997018,0.995651,-0.02059,2025-03-01T14:21:43.936Z
true-usd,tusd,TrueUSD,0.997056,494076731,43443251.0,0.999522,0.995053,0.02259,2025-03-01T14:21:43.027Z
honey-3,honey,Honey,1.0,486543652,18069419.0,1.003,0.997461,-0.13995,2025-03-01T14:21:31.324Z
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),0.99989,445147995,24429726.0,0.999938,0.999701,0.00884,2025-03-01T14:21:40.231Z
usdb,usdb,USDB,0.990316,402114220,2769278.0,1.011,0.975674,-1.33007,2025-03-01T14:21:43.037Z
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.086,381127607,10340384.0,1.093,1.078,-0.22109,2025-03-01T14:21:33.324Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,372657211,0.0,1.0,1.0,0.0,2025-03-01T14:20:06.224Z
