id,symbol,name,current_price_usd,market_cap_usd,total_volume_usd,high_24h_usd,low_24h_usd,price_change_24h,price_volatility_24h,market_cap_to_volume_ratio,normalized_price,price_movement_category,log_market_cap_usd,log_total_volume_usd,hour_of_day,day_of_week,last_updated
tether,usdt,Tether,0.999523,142125723487,71701529500.0,0.999889,0.999257,0.02666,0.0006320000000000769,1.982185379839073,0.0003497276644401309,up,25.679977879508993,24.995777916277042,14,5,2025-03-01 14:21:31.217000+00:00
usd-coin,usdc,USDC,0.999863,56355694651,8812658199.0,0.999934,0.999707,0.00631,0.00022699999999997722,6.394857644359208,0.00034984663583004374,stable,24.754949130924167,22.899454956696715,14,5,2025-03-01 14:21:32.300000+00:00
usds,usds,USDS,0.999927,7808167268,23217686.0,1.001,0.998897,0.01135,0.002102999999999855,336.30256124576755,0.00034986903044461557,up,22.778436108599255,16.960424916869275,14,5,2025-03-01 14:21:43.070000+00:00
ethena-usde,usde,Ethena USDe,0.998707,5467769154,78432575.0,0.999348,0.998094,-0.01398,0.0012539999999999774,69.71298792625386,0.00034944213310434004,down,22.422136537469967,18.177749909224257,14,5,2025-03-01 14:21:42.725000+00:00
dai,dai,Dai,0.999767,3279559530,206433840.0,1.001,0.998204,-0.03092,0.0027959999999999097,15.886734122661284,0.000349813043908186,down,21.910974960995574,19.145490536465317,14,5,2025-03-01 14:21:42.366000+00:00
susds,susds,sUSDS,1.04,2972175615,615056.0,1.048,1.037,0.03572,0.01100000000000012,4832.365857743035,0.00036389120840925614,up,21.812560052231134,13.329470225420687,14,5,2025-03-01 14:21:41.437000+00:00
first-digital-usd,fdusd,First Digital USD,0.997365,2037569276,7747252076.0,1.006,0.990414,-0.50268,0.015585999999999989,0.2630054186970539,0.0003489725460300369,down,21.435023403482866,22.770604046726934,14,5,2025-03-01 14:21:43.309000+00:00
usual-usd,usd0,Usual USD,0.997494,1078121234,11713664.0,0.998042,0.997111,-0.01243,0.0009310000000000151,92.03962432250063,0.00034901768517503327,down,20.79848576600399,16.276266666964432,14,5,2025-03-01 14:21:42.793000+00:00
paypal-usd,pyusd,PayPal USD,0.999367,753779631,21379530.0,1.001,0.998927,0.04411,0.0020729999999998805,35.25707211524295,0.0003496730775671121,up,20.440610618002427,16.87794452693142,14,5,2025-03-01 14:21:33.866000+00:00
tether-gold,xaut,Tether Gold,2857.83,704631921,4929410.0,2859.54,2834.96,0.40946,24.579999999999927,142.94447428799796,1.0,up,20.37318612798283,15.410730066264819,14,5,2025-03-01 14:21:42.149000+00:00
usdx-money-usdx,usdx,usdx.money USDX,0.999215,624915357,163628.0,1.001,0.99533,0.12552,0.005669999999999842,3819.122381255042,0.00034961989035750394,up,20.253126771329583,12.005356949055493,14,5,2025-03-01 14:21:43.076000+00:00
pax-gold,paxg,PAX Gold,2856.6,597544136,26590510.0,2865.86,2837.56,0.42619,28.300000000000182,22.472082558777547,0.9995696035011976,up,20.20833870849779,17.096064980785577,14,5,2025-03-01 14:21:34.128000+00:00
resolv-usr,usr,Resolv USR,0.99978,527149273,5837459.0,1.0,0.998685,-0.02157,0.001314999999999955,90.30457824200565,0.0003498175928142709,down,20.082994318769174,15.579806328687418,14,5,2025-03-01 14:21:36.315000+00:00
frax,frax,Frax,0.995928,495112783,9442333.0,0.997018,0.995651,-0.02059,0.001367000000000007,52.43542914658909,0.0003484697169497288,down,20.020296141044547,16.060713753324197,14,5,2025-03-01 14:21:43.936000+00:00
true-usd,tusd,TrueUSD,0.997056,494076731,43443251.0,0.999522,0.995053,0.02259,0.004469000000000056,11.372922597344292,0.0003488644220315573,up,20.018201391025286,17.586966092666398,14,5,2025-03-01 14:21:43.027000+00:00
honey-3,honey,Honey,1.0,486543652,18069419.0,1.003,0.997461,-0.13995,0.00553899999999985,26.926358395917433,0.00034989457430186155,down,20.002837184239162,16.709731564654273,14,5,2025-03-01 14:21:31.324000+00:00
